"Name","DisplayName"
"AarSvc_150f19","Agent Activation Runtime_150f19"
"AJRouter","AllJoyn Router Service"
"ALG","Application Layer Gateway Service"
"AppIDSvc","Application Identity"
"AppMgmt","Application Management"
"AppReadiness","App Readiness"
"AppVClient","Microsoft App-V Client"
"AssignedAccessManagerSvc","AssignedAccessManager Service"
"autotimesvc","Cellular Time"
"AxInstSV","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_150f19","Service utilisateur de diffusion et GameDVR_150f19"
"BDESVC","BitLocker Drive Encryption Service"
"BEService","BattlEye Service"
"BITS","Background Intelligent Transfer Service"
"CaptureService_150f19","CaptureService_150f19"
"CertPropSvc","Certificate Propagation"
"cloudidsvc","Microsoft Cloud Identity Service"
"com.docker.service","Docker Desktop Service"
"COMSysApp","COM+ System Application"
"ConsentUxUserSvc_150f19","ConsentUX_150f19"
"CredentialEnrollmentManagerUserSvc_150f19","CredentialEnrollmentManagerUserSvc_150f19"
"CscService","Offline Files"
"dcsvc","Declared Configuration(DC) service"
"debugregsvc","debugregsvc"
"defragsvc","Optimize drives"
"DeveloperToolsService","Developer Tools Service"
"DeviceAssociationBrokerSvc_150f19","DeviceAssociationBroker_150f19"
"DeviceInstall","Device Install Service"
"DevicePickerUserSvc_150f19","DevicePicker_150f19"
"DevicesFlowUserSvc_150f19","Flux d?appareils_150f19"
"DevQueryBroker","DevQuery Background Discovery Broker"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","Diagnostic Execution Service"
"DialogBlockingService","DialogBlockingService"
"DmEnrollmentSvc","Device Management Enrollment Service"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"dot3svc","Wired AutoConfig"
"DsmSvc","Device Setup Manager"
"DsSvc","Data Sharing Service"
"Eaphost","Extensible Authentication Protocol"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Encrypting File System (EFS)"
"embeddedmode","Embedded Mode"
"EntAppSvc","Enterprise App Management Service"
"Fax","Fax"
"fhsvc","File History Service"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0"
"FrameServer","Windows Camera Frame Server"
"GameInputSvc","GameInput Service"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService144.0.7547.4","Service interne de mise ? jour Google (GoogleUpdaterInternalService144.0.7547.4)"
"GoogleUpdaterService144.0.7547.4","Service de mise ? jour Google (GoogleUpdaterService144.0.7547.4)"
"GraphicsPerfSvc","GraphicsPerfSvc"
"hidserv","Human Interface Device Service"
"icssvc","Windows Mobile Hotspot Service"
"InstallService","Microsoft Store Install Service"
"IpxlatCfgSvc","IP Translation Configuration Service"
"KtmRm","KtmRm for Distributed Transaction Coordinator"
"lltdsvc","Link-Layer Topology Discovery Mapper"
"LxpSvc","Language Experience Service"
"LxssManager","LXSSMANAGER"
"LxssManagerUser_150f19","LxssManagerUser_150f19"
"MapsBroker","Downloaded Maps Manager"
"McpManagementService","McpManagementService"
"MessagingService_150f19","MessagingService_150f19"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service"
"MSDTC","Distributed Transaction Coordinator"
"MSiSCSI","Microsoft iSCSI Initiator Service"
"msiserver","Windows Installer"
"MsKeyboardFilter","Microsoft Keyboard Filter"
"NaturalAuthentication","Natural Authentication"
"NcaSvc","Network Connectivity Assistant"
"NcdAutoSetup","Network Connected Devices Auto-Setup"
"Netlogon","Netlogon"
"Netman","Network Connections"
"NetSetupSvc","Network Setup Service"
"NetTcpPortSharing","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Microsoft Passport Container"
"NgcSvc","Microsoft Passport"
"p2pimsvc","Peer Networking Identity Manager"
"p2psvc","Peer Networking Grouping"
"PeerDistSvc","BranchCache"
"perceptionsimulation","Windows Perception Simulation Service"
"PerfHost","Performance Counter DLL Host"
"pla","Performance Logs & Alerts"
"PNRPAutoReg","PNRP Machine Name Publication Service"
"PNRPsvc","Peer Name Resolution Protocol"
"PrintNotify","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_150f19","PrintWorkflow_150f19"
"ProtonVPN Service","ProtonVPN Service"
"ProtonVPN WireGuard","ProtonVPN WireGuard"
"PushToInstall","Windows PushToInstall Service"
"QWAVE","Quality Windows Audio Video Experience"
"RasAuto","Remote Access Auto Connection Manager"
"RemoteAccess","Routing and Remote Access"
"RemoteRegistry","Remote Registry"
"RetailDemo","Retail Demo Service"
"rpcapd","Remote Packet Capture Protocol v.0 (experimental)"
"RpcLocator","Remote Procedure Call (RPC) Locator"
"SCardSvr","Smart Card"
"ScDeviceEnum","Smart Card Device Enumeration Service"
"SCPolicySvc","Smart Card Removal Policy"
"SDRSVC","Windows Backup"
"seclogon","Secondary Logon"
"SEMgrSvc","Payments and NFC/SE Manager"
"Sense","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Sensor Data Service"
"SensorService","Sensor Service"
"SensrSvc","Sensor Monitoring Service"
"SessionEnv","Remote Desktop Configuration"
"SgrmBroker","System Guard Runtime Monitor Broker"
"SharedRealitySvc","Spatial Data Service"
"shpamsvc","Shared PC Account Manager"
"smphost","Microsoft Storage Spaces SMP"
"SmsRouter","Microsoft Windows SMS Router Service."
"SNMPTRAP","SNMP Trap"
"spectrum","Windows Perception Service"
"sppsvc","Software Protection"
"ssh-agent","OpenSSH Authentication Agent"
"sshd","OpenSSH SSH Server"
"SshdBroker","SshdBroker"
"Steam Client Service","Steam Client Service"
"StiSvc","Windows Image Acquisition (WIA)"
"svsvc","Spot Verifier"
"swprv","Microsoft Software Shadow Copy Provider"
"TermService","Remote Desktop Services"
"TieringEngineService","Storage Tiers Management"
"TroubleshootingSvc","Recommended Troubleshooting Service"
"TrustedInstaller","Windows Modules Installer"
"tzautoupdate","Auto Time Zone Updater"
"UevAgentService","User Experience Virtualization Service"
"UmRdpService","Remote Desktop Services UserMode Port Redirector"
"upnphost","UPnP Device Host"
"VacSvc","Volumetric Audio Compositor Service"
"vds","Virtual Disk"
"vmicguestinterface","Hyper-V Guest Service Interface"
"vmicheartbeat","Hyper-V Heartbeat Service"
"vmickvpexchange","Hyper-V Data Exchange Service"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Hyper-V Guest Shutdown Service"
"vmictimesync","Hyper-V Time Synchronization Service"
"vmicvmsession","Hyper-V PowerShell Direct Service"
"vmicvss","Hyper-V Volume Shadow Copy Requestor"
"VSInstallerElevationService","Visual Studio Installer Elevation Service"
"VSS","Volume Shadow Copy"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150"
"W32Time","Windows Time"
"WaaSMedicSvc","Windows Update Medic Service"
"WalletService","WalletService"
"WarpJITSvc","WarpJITSvc"
"wbengine","Block Level Backup Engine Service"
"WbioSrvc","Windows Biometric Service"
"wcncsvc","Windows Connect Now - Config Registrar"
"WebClient","WebClient"
"Wecsvc","Windows Event Collector"
"WEPHOSTSVC","Windows Encryption Provider Host Service"
"wercplsupport","Problem Reports Control Panel Support"
"WerSvc","Windows Error Reporting Service"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service"
"WiaRpc","Still Image Acquisition Events"
"WinRM","Windows Remote Management (WS-Management)"
"wisvc","Windows Insider Service"
"wlpasvc","Local Profile Assistant Service"
"WManSvc","Windows Management Service"
"wmiApSrv","WMI Performance Adapter"
"WMPNetworkSvc","Windows Media Player Network Sharing Service"
"workfolderssvc","Work Folders"
"WpcMonSvc","Parental Controls"
"WPDBusEnum","Portable Device Enumerator Service"
"WslInstaller","Windows Subsystem for Linux"
"WwanSvc","WWAN AutoConfig"
"XblAuthManager","Xbox Live Auth Manager"
"XblGameSave","Xbox Live Game Save"
"XboxGipSvc","Xbox Accessory Management Service"
"XboxNetApiSvc","Xbox Live Networking Service"
